"","treename","traitname","pcr","competence","antibodies","tip.label","clade","ord","fam","gen","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal"
"1","Acinonyx","Acinonyx",1,1,0,"Acinonyx","Feliformes","Carnivora","Felidae","Acinonyx",50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,4000,0,4000,4,9.03,17115,48900,465,94.38,250,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,517,5.51170944997328
"2","Ailurus","Ailurus",1,1,0,"Ailurus","Caniformes","Carnivora","Ailuridae","Ailurus",4747.54,42.491,608.66,NA,6935,604.05,571.903,550,760.41,123.437,4,2,1,364.75,102.02,136.935,1140,3650,2.497,NA,1.43,NA,10,10,80,10,10,0,0,0,0,10,0,10,60,1,4800,2500,2300,1,18,838.36,5345,270,1.52,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,154,26.2829786409906
"3","Allenopithecus","Allenopithecus",0,0,1,"Allenopithecus","Catarrhini","Primates","Cercopithecidae","Allenopithecus",4690,53.7,459.995,NA,10019.25,NA,1452.4,NA,1528.34,165.591,NA,1,0.931,470.453,221,106.15,NA,3723.024,2.48,NA,NA,40,50,0,50,50,0,0,0,0,0,50,0,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15,13.7164379813875
"4","Alouatta","Alouatta",1,1,0,"Alouatta","Platyrrhini","Primates","Atelidae","Alouatta",6330.555,55.442,737.605,NA,9125,1681.4915,1610.482,1103,1685.1075,187.384,NA,1.071,0.7905,486.4065,293.42,372,1100,3833.157,2.925,40.031,0.1,7.9,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1160,10,1150,2,NA,2027.4,4670,NA,0.31,NA,NA,NA,0,0,0,0,1,0,0,0.555555555555556,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.785714285714286,0,0,814,37.763263845
"5","Apodemus","Apodemus",1,1,1,"Apodemus","Mouse-related","Rodentia","Muridae","Apodemus",27.0875,0.737,126.56,NA,1934.5,57.93,71,60.75,94.436,23.955,NA,5.18,3.085,39.973,2.3,22,8.7,572.689,0.152,1098.35,0.004,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2600,275,1750,2,NA,63.81,31.25,NA,0.0043683495,NA,NA,NA,0,0.904761904761905,0,0,1,0,0.142857142857143,1,0.285714285714286,0.0952380952380952,0.904761904761905,0,0.0476190476190476,0.857142857142857,0.0952380952380952,0,1,0,0,0,0,0.857142857142857,0.142857142857143,0,0,0,0,0.333333333333333,0,0,0,0.952380952380952,3213270,26.6270515732113
"6","Arvicola","Arvicola",0,0,1,"Arvicola","Mouse-related","Rodentia","Cricetidae","Arvicola",108.75,1.499,220,NA,1825,48.109,51.218,45,72.828,21.305,NA,5.08,3.21,31.978,5.43,14.761,42,596.379,0.313,57067.85,NA,NA,0,0,100,0,0,0,0,0,0,20,0,0,80,2,2400,0,2755,1,NA,113.1,97.5,NA,NA,NA,NA,NA,0,1,0.666666666666667,0,1,0,0,1,0.5,0.666666666666667,0.333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,219,21.0525865951727
"7","Atherurus","Atherurus",0,0,1,"Atherurus","Guinea_pig-related","Rodentia","Hystricidae","Atherurus",2437.825,21.743,535.2475,NA,6656.6875,NA,461.8385,NA,561.601,106.9335,NA,1.5425,2.2235,176.7605,148.13,61.3165,NA,2061.8215,1.7235,0.6,0.12,1,0,0,100,0,0,0,0,0,0,20,0,0,80,2,3000,NA,NA,1.5,0,NA,NA,NA,0.1,180,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,0,0.5,19,59.9499370720625
"8","Balaena","Balaena",1,0,0,"Balaena","Whippomorpha","Cetartiodactyla","Balaenidae","Balaena",8e+07,6042.615,13593.56,NA,77015,6041.21,6391.56,8212,8599.95,379.9,NA,1,0.3,1641.376,9e+05,352,NA,18980,NA,NA,NA,5,100,0,0,100,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,141,19.6056083545641
"9","Bos","Bos",1,1,1,"Bos","Ruminantia","Cetartiodactyla","Bovidae","Bos",683333.335,441.956,3000,NA,9563,755.15,746.916,550,825,274.766,NA,1,0.998,470.279,18000,210.101,NA,3285,38.402,0.861,10.04,40,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2800,0,2100,2,NA,NA,NA,NA,NA,NA,21,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0.2,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0.6,0,0,0,0.4,15906,15.427802716082
"10","Bubalus","Bubalus",1,1,0,"Bubalus","Ruminantia","Cetartiodactyla","Bovidae","Bubalus",224928.085,394.465,2015.0195,NA,10775.8325,755.15,748.8625,730,866.549,297.495,NA,1.007,1,435.8925,37500,215.928,NA,3102.5,20.8235,1.06,3.63,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1650,0,1550,2,NA,NA,NA,1095,NA,NA,11,NA,0,1,0.25,0,1,0,0.666666666666667,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.166666666666667,0.166666666666667,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0,0,0,0,7926,15.427802968582
"11","Callithrix","Callithrix",1,1,0,"Callithrix","Platyrrhini","Primates","Callitrichidae","Callithrix",294.9075,7.9745,300,NA,8318.958,429.5,477,382,621,144,NA,2.18,2,164.287,27.12,62,96.8,2189.8665,0.5415,31.5265,0.06,7.275,20,10,70,20,0,0,0,10,0,30,40,0,0,3,1274,500,774,2,NA,152,190,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.166666666666667,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4828,18.79708631095
"12","Camelus","Camelus",1,1,0,"Camelus","Camelidae","Cetartiodactyla","Camelidae","Camelus",454500,651,3450,NA,14600,1639.27,1265.1245,1734.5,1555.81,396.125,NA,1,0.6,669.8935,36187.7975,395.964,253484,5381.7425,30.6785,0.76,196.32,8.1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,1,NA,40293,407000,NA,NA,NA,11,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,5093,36.5739324133125
"13","Canis","Canis",1,0,1,"Canis","Caniformes","Carnivora","Canidae","Canis",12284.215,85.4035,953.93,NA,6862,372.065,389.0435,304,399.175,62.675,8,4.08,1.075,364.75,207.5,65.5235,3383.5,2075.6955,22.1895,0.5695,8.065,NA,5,90,5,5,55,0,0,0,10,0,0,0,0,1,3000,0,3000,4.5,11.94,7476.6,21775,255,8.92,NA,NA,NA,0,1,0,0,1,0,0,0.8,0.2,0,0.375,0.625,0.125,0.875,0,0,1,0,0,0,0,1,0,0,0.444444444444444,0,0,0.222222222222222,0.333333333333333,0.222222222222222,0,0.333333333333333,11617,16.6448941152312
"14","Capra","Capra",1,0,0,"Capra","Ruminantia","Cetartiodactyla","Bovidae","Capra",69546.83,152.627,1695,NA,8139.5,966.5,797,1090.5,730,164.253,3,1.18,0.89,517.895,2791.43,182.616,15691.695,2555,10.928,5.825,49.47,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3500,550,3200,3,NA,NA,NA,NA,0.51,NA,11,NA,0,1,0,0,1,0,0,0.166666666666667,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.222222222222222,0,0,0.333333333333333,0,0,0,0.888888888888889,41480,24.5941170068641
"15","Castor","Castor",1,1,0,"Castor","Mouse-related","Rodentia","Castoridae","Castor",19464.1675,45.115,771.8915,NA,10658,848.815,820.31,639,847.6575,110.532,4,3.3175,1,364.875,487.0525,60.989,4199.995,2975.8625,5.4245,0.6,0.06,5.1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,850,0,850,2,0.5,NA,NA,729.99,0.05,NA,NA,NA,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,5177,67.529949851125
"16","Ceratotherium","Ceratotherium",0,1,0,"Ceratotherium","Perissodactyla","Perissodactyla","Rhinocerotidae","Ceratotherium",2230000,1344.886,3393.405,NA,18250,2741.23,2026.125,1643,2463.75,515,NA,1,0.42,987.449,51166.67,365,274482.35,6865.346,73.599,0.776,19.09,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,3,NA,NA,NA,902.99,19,NA,3.75,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,250,24.6088726719063
"17","Cercocebus","Cercocebus",0,0,1,"Cercocebus","Catarrhini","Primates","Cercopithecidae","Cercocebus",7775,96.203,699,NA,16790,1535.987,1535.987,NA,1705.85,169.863,NA,1.005,0.95,445.37,527.17,365.232,2170,3882.029,3.275,24.5,0.51,30.925,11,2,87,15,0,0,0,5,0,70,0,0,0,2,1000,0,950,1,NA,NA,NA,NA,NA,NA,23.55,NA,0,0,0,0,1,0,0,0,0,0.285714285714286,0.714285714285714,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,569,13.0108894736875
"18","Cercopithecus","Cercopithecus",1,0,1,"Cercopithecus","Catarrhini","Primates","Cercopithecidae","Cercopithecus",3800,62.375,480,NA,11388,1684.59,1572.295,2114,1798.334,170.741,NA,1,0.52,608.216,339,363.965,1640,4000.218,2.209,36.092,0.695,15,20,10,70,20,0,0,0,10,0,50,0,10,10,2,2000,0,130,1,NA,3455.75,8650,NA,0.305,NA,13.9,NA,0,0,0,0,1,0,0,0.181818181818182,0,0.0526315789473684,0.947368421052632,0,0,0,1,0,0,0,1,0,0,1,0,0,0.85,0,0,0,0,0,0,0,42821,9.70930228710375
"19","Chinchilla","Chinchilla",0,0,1,"Chinchilla","Guinea_pig-related","Rodentia","Chinchillidae","Chinchilla",488.7475,5.6605,323.75,NA,7300,234.905,240.872,241.76,296.7395,112.1025,6,1.7175,2,127.3635,39.27,52.7475,NA,1825,0.715,770,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3825,1700,2125,2,0,282.1,403,NA,NA,NA,100,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3897,59.9499410370625
"20","Chlorocebus","Chlorocebus",1,0,1,"Chlorocebus","Catarrhini","Primates","Cercopithecidae","Chlorocebus",5104.25,68.0755,660,NA,16790,1571.93,1318.86,1825,1486.85,167.99,NA,1,1,434.053,325.895,212.748,1036.25,4206.941,2.598,57.3885,NA,NA,20,10,75,20,0,0,0,20,0,40,0,0,20,3,1950,0,2000,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0.166666666666667,0.833333333333333,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,41797,9.70930176636375
"21","Colobus","Piliocolobus",0,0,1,"Piliocolobus","Catarrhini","Primates","Cercopithecidae","Piliocolobus",8030.75,75.198,618.6125,NA,11285.783,1490.147,1490.147,NA,1661.71,171.355,NA,1,0.5185,652.649,NA,665.94,NA,3756.5595,3.334,139.168,0.05,24.5,0,0,100,0,0,0,0,0,0,20,0,5,75,2,755,25,730,1,NA,NA,NA,NA,0.71,NA,33.6,NA,0,0,0,0,1,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,0,0.923076923076923,0.0769230769230769,0,0.722222222222222,0,0,0,0,0,0,0,471,18.576412106975
"22","Cricetomys","Cricetomys",1,0,1,"Cricetomys","Mouse-related","Rodentia","Nesomyidae","Cricetomys",1400,6.57,406.32,NA,3066,161.92,161.92,NA,195.92,34,NA,3.11,3.75,69.073,23.1,31.045,NA,1040.306,1.33,0.6,NA,NA,40,0,60,40,0,0,0,0,0,30,0,20,10,3,2000,0,2000,3,23,1022.38,1521.4,NA,NA,78,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,138,59.3260253875625
"23","Crocidura","Crocidura",1,0,0,"Crocidura","Soricidae","Eulipotyphla","Soricidae","Crocidura",10.42,0.3605,85.9965,NA,494.5695,75,153.292,75,184.8365,27.0335,NA,3.2925,3.0625,65.0615,0.88,23.1225,7.7,462.799,0.6945,241.37,0,1,50,50,0,50,0,10,0,0,40,0,0,0,0,2,1920,327.5,1000,1,10,29.83,12.8,NA,0.000235,29.49,NA,NA,0.0106382978723404,1,0,0,1,0,0.037037037037037,0.407407407407407,0,0,0.0265957446808511,0.973404255319149,1,0,0,0,1,0,0,0,0,0.779661016949153,0.0847457627118644,0.135593220338983,0.551020408163265,0,0.0459183673469388,0.255102040816327,0,0,0,0.158163265306122,328,70.40394834622
"24","Cynomys","Cynomys",1,0,0,"Cynomys","Squirrel-related","Rodentia","Sciuridae","Cynomys",864.04,5.808,318.745,NA,2339.042,404.565,568.347,730,598.737,30.39,9,4.5,1,435.658,15.75,36.65,140.57,1362.261,0.978,1399.8415,0.007,5.89,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3180,1665,1515,2,33.375,422.67,1112.3,524.89,0.0260686325,NA,40,NA,1,1,0,0,1,0,0,0.666666666666667,0,0.8,0.2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6124,18.2736127404906
"25","Delphinus","Delphinus",1,0,0,"Delphinus","Whippomorpha","Cetartiodactyla","Delphinidae","Delphinus",77818.345,754.827,2519.995,NA,10594.125,1867.448,1624.2415,4017.75,2021.672,306.35,NA,0.99,0.42,983.468,7059.825,340.946,39999.995,4282.5795,NA,NA,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,682.5,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,736,3.15269989519025
"26","Diceros","Diceros",0,1,0,"Diceros","Perissodactyla","Perissodactyla","Rhinocerotidae","Diceros",995940.54,790.5,3299.995,NA,17973.208,2199.16,1826,2254,2053.12,474,NA,1,0.4,1053.463,34999.99,606.285,426865.48,6205,47.243,0.142,11.48,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,3,NA,NA,NA,NA,13.24,NA,1,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,217,24.6088726719063
"27","Didelphis","Didelphis",0,1,0,"Didelphis","Didelphimorphia","Didelphimorphia","Didelphidae","Didelphis",1090.1725,5.913,378.52,NA,1587.75,270.615,249.84,240.75,259.84,12.1725,13,6.7725,1.75,210.7905,0.18,108.25,95.955,612.838,1.1115,72.5,0.17,1,20,60,20,20,0,0,0,30,30,0,0,0,20,4,2775,30,2245,2.5,NA,665.205,2140.25,107.5,0.14,13.8,NA,195.2,0,0,0,0,1,0,0,1,0.25,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.166666666666667,1,0,0,1352,101.4142213165
"28","Elephas","Elephas",1,1,0,"Elephas","Afrotheria","Proboscidea","Elephantidae","Elephas",2724217.55,3053.715,4338.016,NA,22786.188,4014.43,2922.0555,3287,3221.435,543.674,2,1.1505,0.329,1105.6665,100038.9,566.285,NA,7603.474,74.9275,1.298,38.36,7.75,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3000,0,3000,3,0,NA,NA,NA,28.08,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.625,0.125,0.25,0,0,0,0.125,0,0,0,0,707,54.41554376595
"29","Equus","Equus",1,1,1,"Equus","Perissodactyla","Perissodactyla","Equidae","Equus",256250,518.7875,2452.8525,NA,14243.102,963.17,992.677,1187,1168.488,352.421,2,1,0.6645,550.462,34034.3175,329.712,117097.78,3582.3325,22.6805,2.665,71.805,13,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2300,0,2100,3,NA,NA,NA,655.29,6.88,1000,3.5,NA,0,1,0,0,1,0,0,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,0.3,1740,56.300615626425
"30","Eubalaena","Eubalaena",1,0,0,"Eubalaena","Whippomorpha","Cetartiodactyla","Balaenidae","Eubalaena",2.3e+07,5272.364,17603.54,NA,24455,3285,3347.96,3103.125,3467.5,350.007,NA,1,0.29,1451.506,797164,224.24,5e+06,9855,NA,NA,NA,4.75,100,0,0,100,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,5299.995,NA,6994.995,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.666666666666667,169,19.6056102344641
"31","Eumetopias","Eumetopias",1,0,0,"Eumetopias","Caniformes","Carnivora","Otariidae","Eumetopias",382466.74,685.055,2971.355,NA,11972,1965.83,1803.125,2420,2420,308.05,NA,1,1,364.75,18625,351,106610,3650,NA,NA,NA,NA,0,100,0,0,0,0,100,0,0,0,0,0,0,1,5,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,NA,NA,NA,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,186,36.9967031796625
"32","Felis","Felis",1,1,1,"Felis","Feliformes","Carnivora","Felidae","Felis",5036.54,37.931,624.255,NA,7300,305.916,307.832,304,365,64.719,6,3.69,2.02,131.035,100.935,81.505,636.895,1903.782,14.354,0.36,1.29,NA,0,100,0,0,80,10,0,0,0,0,0,0,0,1,2250,0,2250,3,11.445,3184.2,4485,140,1.36,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.6,0,0,0.2,0,0,0,0.6,140945,7.44211170302656
"33","Funisciurus","Funisciurus",1,1,1,"Funisciurus","Squirrel-related","Rodentia","Sciuridae","Funisciurus",192.865,3.574,180.2085,NA,2536.587,NA,312.97,NA,350.013,54.392,NA,1.8,1.6565,112.701,9.91,50.102,NA,1213.2905,0.4285,1000,0.003,NA,10,0,90,10,0,0,0,0,0,40,0,50,0,2,1650,0,1650,1,18,98.755,103.65,NA,NA,NA,NA,NA,0,0.1,0,0,1,0,0,0.333333333333333,0,0.4,0.6,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,12,32.0543106678313
"34","Gerbilliscus","Gerbilliscus",0,1,0,"Gerbilliscus","Mouse-related","Rodentia","Muridae","Gerbilliscus",113,1.699,200,NA,1499.2135,98.979,103.68,99,127.765,25.4435,NA,4.294,2.9385,71.2695,4.905,26.896,30,638.817,0.32,642.18,0.001,NA,20,0,80,20,0,0,0,0,0,0,0,20,60,3,1500,0,1500,3,20,183.42,113.25,NA,0.00069045,45,NA,NA,0,1,0,0,1,0,0,0.6,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.916666666666667,0,0,0,0,0,0,0.0833333333333333,17,36.4547657878453
"35","Gorilla","Gorilla",0,0,1,"Gorilla","Catarrhini","Primates","Hominidae","Gorilla",133028.7475,464.9665,1672.22,NA,20221,3835.3615,2960.03,4746.875,3499.03,257,NA,1.0025,0.3,1420.7085,2074.75,921.025,12595,7665,15.6075,1.002,4.03,6,0,0,100,0,0,0,0,0,0,10,0,0,90,1,2850,300,2550,1,NA,NA,NA,5248.98,NA,NA,10,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3274,16.469061000425
"36","Grampus","Grampus",1,0,0,"Grampus","Whippomorpha","Cetartiodactyla","Delphinidae","Grampus",425000,2551,4000,NA,15512.5,2526.32,3652.5,3652.5,4017.616,365.116,NA,1,0.417,1009.967,20000,456.6,NA,7300,NA,NA,NA,NA,50,50,0,50,0,0,50,0,0,0,0,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,130,13.089190577422
"37","Heliosciurus","Heliosciurus",0,0,1,"Heliosciurus","Squirrel-related","Rodentia","Sciuridae","Heliosciurus",308.75,5.3155,216.695,NA,2785.68,NA,337.429,NA,375.838,49.633,NA,2.8525,1.6605,132.395,NA,50.582,NA,1254.281,0.5555,NA,NA,2,20,20,60,20,0,0,0,20,0,30,0,30,0,4,2000,800,1700,1.5,NA,133.4,230,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.666666666666667,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,32.0543081852312
"38","Homo","Homo",1,1,1,"Homo","Catarrhini","Primates","Hominidae","Homo",69017.5,401.1335,1283.8825,NA,18700.0425,5582.93,2666.9095,5110,2925.4095,243.972,NA,1.042,0.4665,839.8065,3312.5,641.4895,11750,6150.3815,15.295,NA,NA,NA,6,31.5,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,0,0,1,0,NA,NA,NA,0,1,0,0,0,1,0,0.333333333333333,0,0.666666666666667,0,0,0.75,0,0.25,0,0,0,0,0,0,0,0,20301659,10.9220776504125
"39","Hylobates","Hylobates",1,0,0,"Hylobates","Catarrhini","Primates","Hylobatidae","Hylobates",5909.81,90.935,590,NA,20805,2337.031,2849.063,1825,3066.063,216.243,NA,1,0.5,1031.129,316.455,600.502,1070,5475,2.816,10.74,0.245,3.2,10,0,90,10,0,0,0,0,0,70,0,0,20,2,1500,0,1400,1,NA,NA,NA,NA,0.3,NA,4,NA,0,0,0,0,1,0,0.6,0.8,0,0.222222222222222,0.777777777777778,0,0,0,1,0,0,0,1,0,0,0.428571428571429,0.428571428571429,0.142857142857143,0,0,0,1,0,0,0,0,1128,26.32297607025
"40","Lama","Lama",1,1,0,"Lama","Camelidae","Cetartiodactyla","Camelidae","Lama",112500,255.857,1747.55,NA,22435.333,676.66,676.66,730,700,337.55,NA,1,0.685,547.375,9999.995,213.026,29000,4064.145,14.238,0.67,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,5000,0,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3434,18.8543909150562
"41","Leontocebus","Leontocebus",0,1,0,"Leontocebus","Platyrrhini","Primates","Callitrichidae","Leontocebus",393.99,8.275,310,NA,9088.5,406.61,546,730,850.45,148,NA,1.8,1,247.58,39.6,91,175,3218.314,0.635,23.212,0.2,6,34.5,7,58.5,40,0,0,0,0,0,30,30,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.181818181818182,0,0,6177,12.161996535375
"42","Leopardus","Leopardus",0,1,0,"Leopardus","Feliformes","Carnivora","Felidae","Leopardus",3600,33.33,694.205,NA,7993.5,678.64,581.834,600,730,74.784,NA,2.02,1.826,231.915,157.42,69.258,2092.55,2190,11.044,0.165,6.81,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3313,0,3313,3,11.735,2300.7,7580.835,758.99,6.695,NA,NA,NA,0,0.888888888888889,0,0,1,0,0,1,0,0,0.111111111111111,0.888888888888889,0.333333333333333,0.666666666666667,0,0,0.555555555555556,0.333333333333333,0.111111111111111,0,0,1,0,0,0,0,0,0,0.111111111111111,0.888888888888889,0,0,307,5.87526000071328
